image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
goddess\god001.jpg,goddess,0.4784982,0.185941,0.49038586,0.16958778,0.4682074,0.17045458,0.51290476,0.19402657,0.46075183,0.19423917,0.5583445,0.29858485,0.42626533,0.28539658,0.63154423,0.27482998,0.36998293,0.2801153,0.64357364,0.14723793,0.3608398,0.16031311,0.53107244,0.553452,0.4280659,0.5379684,0.62307477,0.6708926,0.32923052,0.620529,0.6670274,0.89374477,0.33048314,0.81804526
goddess\god002.jpg,goddess,0.5080328,0.2445792,0.51936966,0.21899498,0.49394086,0.22132325,0.5372472,0.22853369,0.47451118,0.23131754,0.57287544,0.33795726,0.43459517,0.33042356,0.6693527,0.35690075,0.34611732,0.36542693,0.7419652,0.2636929,0.27712524,0.27996603,0.57066983,0.6129385,0.4550284,0.6121169,0.71226233,0.6035455,0.3245096,0.6087834,0.7838302,0.84066534,0.2541941,0.8349629
goddess\god003.jpg,goddess,0.5320902,0.21224631,0.54778713,0.1881673,0.5156005,0.18999627,0.57533383,0.19526646,0.49936095,0.19758226,0.6389256,0.31101823,0.44602978,0.30049753,0.7538274,0.34745958,0.34865203,0.33998856,0.77619797,0.20434012,0.3101913,0.21771918,0.6174573,0.5833424,0.4694524,0.5772031,0.7533514,0.61693406,0.32753426,0.61393785,0.8146392,0.8583556,0.30278933,0.84607536
goddess\god004.jpg,goddess,0.49072,0.32701933,0.49706376,0.3118403,0.48148462,0.31198418,0.50655615,0.31935078,0.46873713,0.32071182,0.5296871,0.39258263,0.44659936,0.38649628,0.5562145,0.3061922,0.42674533,0.3076297,0.5714537,0.19901218,0.40850487,0.20330629,0.5272077,0.6222106,0.45659992,0.6194877,0.59348565,0.65253323,0.38239548,0.6605373,0.59498554,0.8356067,0.3790815,0.834083
goddess\god005.jpg,goddess,0.5352684,0.1312416,0.5414315,0.105225846,0.51494825,0.107860334,0.5406043,0.11922534,0.46264255,0.12089533,0.5689532,0.2533316,0.39078972,0.24606225,0.6769954,0.3022094,0.32264856,0.29430923,0.7411221,0.18402466,0.24985032,0.18327996,0.5418201,0.56120753,0.40751648,0.56323946,0.6742437,0.617274,0.30362868,0.64975154,0.66648126,0.8883401,0.25772217,0.9067946
goddess\god006.jpg,goddess,0.7045542,0.13203451,0.71501124,0.112996,0.69265586,0.11368994,0.7316577,0.1449644,0.6782113,0.14647113,0.77930385,0.2722471,0.63239795,0.2611921,0.85288006,0.2924026,0.56367165,0.27622443,0.86915016,0.16017456,0.55014575,0.14377025,0.76103973,0.57279295,0.6513501,0.5664175,0.84454393,0.7032859,0.56246585,0.7004795,0.8566097,0.92226696,0.54861444,0.9082692
goddess\god007.jpg,goddess,0.49074554,0.32736066,0.49719006,0.31214473,0.48154518,0.31212935,0.5066921,0.3198632,0.46878,0.32072866,0.5296925,0.39301682,0.4466605,0.3855204,0.55616677,0.3081246,0.42691457,0.306641,0.5717632,0.1982113,0.4079469,0.2004303,0.5270689,0.6232636,0.4563983,0.6197706,0.59329903,0.6530021,0.38205695,0.6590302,0.5956,0.8364814,0.37938565,0.8330992
goddess\god008.jpg,goddess,0.7976189,0.46260318,0.8108327,0.4697239,0.803704,0.43997905,0.80230445,0.54800135,0.7844293,0.48862433,0.723359,0.5930008,0.70713097,0.5399674,0.6515219,0.6241249,0.6277568,0.5872793,0.56958765,0.6839733,0.5694031,0.68623877,0.47675157,0.57234186,0.46291804,0.5147392,0.33092716,0.4863507,0.3186811,0.42616236,0.26252615,0.6036094,0.25062594,0.5621528
goddess\god009.jpg,goddess,0.598595,0.20232478,0.6127008,0.18335775,0.57522213,0.17929082,0.61732465,0.20920248,0.52129877,0.1978451,0.645797,0.33603495,0.43327868,0.30808908,0.78118885,0.3300658,0.31178012,0.26295808,0.80710775,0.17783102,0.30543032,0.10603523,0.6103858,0.62349707,0.44221908,0.6188759,0.772049,0.6570374,0.29446062,0.69518995,0.7949862,0.8742811,0.18543626,0.9115758
goddess\god010.jpg,goddess,0.4959215,0.25137427,0.51669407,0.23658074,0.46964633,0.23828547,0.5473056,0.25815114,0.4385266,0.26258215,0.6105601,0.3295777,0.37861606,0.32727575,0.66819906,0.20339955,0.31926563,0.20926706,0.58078206,0.11915836,0.39729068,0.111036204,0.5996978,0.59341854,0.39367276,0.5936124,0.8173444,0.66724414,0.19244136,0.69093066,0.87254393,0.8587978,0.13516563,0.8712252
goddess\god011.jpg,goddess,0.48668626,0.25625846,0.49766728,0.23907171,0.47295558,0.24014583,0.5142879,0.25476754,0.45643002,0.25701103,0.5581567,0.34562284,0.41358593,0.3423766,0.64503515,0.350989,0.33445904,0.35861447,0.66826767,0.24572651,0.32008117,0.24806097,0.5494711,0.5708444,0.4363456,0.5683976,0.65079904,0.61690605,0.32756418,0.61717254,0.6942511,0.8068844,0.29402098,0.7997935
goddess\god012.jpg,goddess,0.4962342,0.15788773,0.51026654,0.13254824,0.48067573,0.13620088,0.5292098,0.14844573,0.45954663,0.15367049,0.58906376,0.27576077,0.39866006,0.27344486,0.6318257,0.40626657,0.36088347,0.42282283,0.5245947,0.3633082,0.45954275,0.37750632,0.57559484,0.55299854,0.42120922,0.54859334,0.7063376,0.63252735,0.26887584,0.62713253,0.7414716,0.8775423,0.23296946,0.8587722
goddess\god013.jpg,goddess,0.7460367,0.26391226,0.7562686,0.24288502,0.7342859,0.24518192,0.77085465,0.25536045,0.7183303,0.2575646,0.8149925,0.37141746,0.67333436,0.36164868,0.8387308,0.49896,0.65620744,0.48719436,0.77057636,0.48797297,0.71943873,0.4929798,0.8045011,0.6283408,0.6942362,0.62226665,0.8915804,0.6629355,0.59702885,0.6648656,0.8899636,0.8752017,0.59407884,0.8669093
goddess\god014.jpg,goddess,0.5095512,0.35305592,0.51567894,0.3366303,0.5016232,0.33817366,0.52910423,0.34876087,0.49320018,0.3509762,0.55948466,0.42590478,0.46820146,0.4240942,0.6063858,0.43519753,0.42476994,0.44077954,0.61656934,0.33597273,0.40980718,0.33966124,0.5530608,0.6264639,0.4832757,0.6271322,0.6077698,0.6606074,0.42323482,0.6738837,0.61677843,0.8449481,0.40957725,0.8462289
goddess\god015.jpg,goddess,0.67026585,0.24453597,0.6811959,0.2244072,0.66035116,0.22298266,0.6993219,0.24858543,0.6480095,0.24201499,0.72749734,0.37002733,0.6051014,0.341317,0.7858178,0.4396826,0.5326802,0.36730304,0.8153925,0.32195362,0.5212146,0.25130263,0.692365,0.6355374,0.596229,0.6280392,0.78608644,0.7147168,0.528426,0.731729,0.79879296,0.9099328,0.47907323,0.9106464
